Symbol,Date,Close,Volume
"BIL.N0000","2012-02-23",3.65217217,3291630
"BIL.N0000","2012-02-24",3.65217217,472764
"BIL.N0000","2012-02-27",3.37825926,304808
"BIL.N0000","2012-03-05",3.19565065,211600
"BIL.N0000","2012-03-06",3.19565065,72395
"BIL.N0000","2012-03-08",3.19565065,162424
"BIL.N0000","2012-03-09",3.19565065,156182
"BIL.N0000","2012-03-13",3.10434635,446069
"BIL.N0000","2012-03-14",3.10434635,209300
"BIL.N0000","2012-03-15",3.19565065,501729
"BIL.N0000","2012-03-16",3.19565065,448346
"BIL.N0000","2012-03-19",3.28695496,478634
"BIL.N0000","2012-03-20",3.28695496,390431
"BIL.N0000","2012-03-21",3.19565065,333282
"BIL.N0000","2012-03-22",3.01304204,742736
"BIL.N0000","2012-03-23",3.19565065,123519
"BIL.N0000","2012-03-26",3.19565065,136711
"BIL.N0000","2012-03-27",3.19565065,466025
"BIL.N0000","2012-03-28",3.10434635,34171
"BIL.N0000","2012-03-29",3.01304204,107361
"BIL.N0000","2012-03-30",3.01304204,177819
"BIL.N0000","2012-04-02",3.01304204,19275
"BIL.N0000","2012-04-03",3.01304204,269046
"BIL.N0000","2012-04-04",3.01304204,78825
"BIL.N0000","2012-04-05",3.01304204,75477
"BIL.N0000","2012-04-09",2.92173774,46879
"BIL.N0000","2012-04-10",2.92173774,131000
"BIL.N0000","2012-04-11",3.01304204,35814
"BIL.N0000","2012-04-16",3.01304204,19714
"BIL.N0000","2012-04-17",3.01304204,22618
"BIL.N0000","2012-04-18",2.92173774,75786
"BIL.N0000","2012-04-19",3.01304204,170563
"BIL.N0000","2012-04-20",3.01304204,121216
"BIL.N0000","2012-04-23",2.92173774,175647
"BIL.N0000","2012-04-24",2.92173774,110915
"BIL.N0000","2012-04-25",2.83043343,332295
"BIL.N0000","2012-04-26",2.83043343,342404
"BIL.N0000","2012-04-27",2.83043343,133044
"BIL.N0000","2012-04-30",2.83043343,97653
"BIL.N0000","2012-05-02",2.73912913,187507
"BIL.N0000","2012-05-03",2.83043343,88720
"BIL.N0000","2012-05-04",2.73912913,128701
"BIL.N0000","2012-05-08",2.73912913,310434
"BIL.N0000","2012-05-09",2.55652052,626896
"BIL.N0000","2012-05-10",2.46521622,138898
"BIL.N0000","2012-05-11",2.55652052,219354
"BIL.N0000","2012-05-14",2.55652052,100160
"BIL.N0000","2012-05-15",2.46521622,230053
"BIL.N0000","2012-05-16",2.73912913,379411
"BIL.N0000","2012-05-17",2.64782483,119498
"BIL.N0000","2012-05-18",2.64782483,104431
"BIL.N0000","2012-05-21",2.64782483,21907
"BIL.N0000","2012-05-22",2.46521622,447340
"BIL.N0000","2012-05-23",2.37391191,380730
"BIL.N0000","2012-05-24",2.37391191,39924
"BIL.N0000","2012-05-25",2.37391191,67468
"BIL.N0000","2012-05-28",2.1913033,402176
"BIL.N0000","2012-05-29",2.0086947,410093
"BIL.N0000","2012-05-30",2.099999,414166
"BIL.N0000","2012-05-31",2.0086947,730127
"BIL.N0000","2012-06-01",2.0086947,84685
"BIL.N0000","2012-06-05",1.91739039,86383
"BIL.N0000","2012-06-06",1.82608609,251985
"BIL.N0000","2012-06-07",1.82608609,163575
"BIL.N0000","2012-06-08",2.0086947,58256
"BIL.N0000","2012-06-11",1.91739039,41356
